ID,Title,Objective,Preconditions,Steps,Expected Result,Priority,Module,Release,Requirement Mapping,Type,Automation Status,Labels,Test Data,Environment,Negative/Edge
"TC-001","ECB CRON ingests daily FX rates at 16:30 CET","Validate scheduled ECB ingestion stores daily FX rates successfully.","ECB feed reachable; CRON job configured for 16:30 CET; DB access to fx_rates.","Set system clock/test scheduler to 16:30 CET window.\nTrigger or wait for ECB ingestion job execution.\nQuery fx_rates for current date and expected currencies.","One row per currency for the day is stored/updated in fx_rates with valid timestamp and rate values.","High","growth_accelerator","na","GA-SI-001-US001 - Automated ECB Rate Ingestion","Manual","Not Automated","growth_accelerator,sales_insights,na,US001,happy-path","ECB sample XML for current date","QA/Staging","No"
"TC-002","ECB feed outage falls back to last known rates","Ensure system handles ECB downtime with retries and cached fallback.","Prior-day fx_rates exist; network control available to block ECB endpoint.","Block access to ECB XML endpoint.\nTrigger ingestion job.\nObserve retry attempts and fallback behavior in logs/dashboard banner.","Job retries, then uses last known rates without crash; dashboard indicates rates-as-of warning date.","High","growth_accelerator","na","GA-SI-001-US001 - Automated ECB Rate Ingestion","Manual","Not Automated","growth_accelerator,sales_insights,na,US001,edge,fallback","Simulated outage; cached prior rates","QA/Staging","Yes"
"TC-003","Schema validation failure on changed ECB XML structure","Verify malformed/changed XML is rejected safely.","Ability to inject modified XML payload.","Provide XML payload with structural/schema deviations.\nRun ingestion job.\nReview logs and stored rates for affected date.","Validation fails, error is logged/alerted, and previous valid day's rates remain active.","High","growth_accelerator","na","GA-SI-001-US001 - Automated ECB Rate Ingestion","Manual","Not Automated","growth_accelerator,sales_insights,na,US001,edge,validation","Corrupt/changed ECB XML","QA/Staging","Yes"
"TC-004","Duplicate rate rows for same date/currency are UPSERTed","Confirm duplicate FX entries do not create duplicate records.","Existing fx_rates row for target date/currency.","Run ingestion with payload containing same date/currency pair already in DB.\nQuery fx_rates for duplicate count.\nValidate latest value update semantics if applicable.","Only one unique row exists per date/currency; data remains clean.","High","growth_accelerator","na","GA-SI-001-US001 - Automated ECB Rate Ingestion","Manual","Not Automated","growth_accelerator,sales_insights,na,US001,edge,data-integrity","Duplicate date/currency payload","QA/Staging","Yes"
"TC-005","Network timeout triggers configured retry policy","Validate timeout handling with retry attempts before fallback.","Ability to simulate 10s+ network delay/timeout.","Throttle/blackhole ECB request to force timeout.\nTrigger ingestion job.\nVerify retry count and end state.","System executes up to configured retries and exits gracefully with fallback/alert behavior.","High","growth_accelerator","na","GA-SI-001-US001 - Automated ECB Rate Ingestion","Manual","Not Automated","growth_accelerator,sales_insights,na,US001,edge,retry","Timeout simulation","QA/Staging","Yes"
"TC-006","Missing currency in ECB payload is skipped with warning","Ensure absent currency rates are handled without full job failure.","Injectable payload missing one supported currency.","Provide ECB XML missing one configured currency code.\nRun ingestion.\nOpen dashboard for currency status and inspect logs.","Missing currency is skipped; warning logged; remaining currencies ingest successfully.","Medium","growth_accelerator","na","GA-SI-001-US001 - Automated ECB Rate Ingestion","Manual","Not Automated","growth_accelerator,sales_insights,na,US001,edge,currency","Payload missing GBP or USD","QA/Staging","Yes"
"TC-007","Outlier FX rate change >20% is flagged","Verify sanity-check flags suspicious FX spikes for review.","Outlier threshold configured; admin alert channel enabled.","Inject rate value with >20% day-over-day change.\nTrigger ingestion.\nCheck alerting/log/dashboard verification flag.","Rate record is flagged for verification and visible warning is generated without service crash.","High","growth_accelerator","na","GA-SI-001-US001 - Automated ECB Rate Ingestion","Manual","Not Automated","growth_accelerator,sales_insights,na,US001,edge,outlier","Outlier FX sample","QA/Staging","Yes"
"TC-008","Disk-full during FX write fails gracefully and alerts","Validate write failure path when storage is unavailable.","Controlled environment to simulate no disk space on write target.","Exhaust disk for ingestion write path or simulate ENOSPC.\nRun ingestion.\nValidate alert and absence of partial corrupt write.","Job fails gracefully, sends alert, and does not persist partial/invalid daily data.","High","growth_accelerator","na","GA-SI-001-US001 - Automated ECB Rate Ingestion","Manual","Not Automated","growth_accelerator,sales_insights,na,US001,edge,storage","ENOSPC simulation","QA/Staging","Yes"
"TC-009","Partial XML download is rejected and retried","Ensure incomplete ECB downloads are not processed.","Transport layer control to truncate response payload.","Serve truncated ECB XML response.\nRun ingestion.\nVerify checksum/size validation and retry path.","Partial file is discarded; ingestion retries; no malformed data enters fx_rates.","High","growth_accelerator","na","GA-SI-001-US001 - Automated ECB Rate Ingestion","Manual","Not Automated","growth_accelerator,sales_insights,na,US001,edge,download","Truncated XML","QA/Staging","Yes"
"TC-010","ECB rate limiting is respected with backoff","Validate backoff behavior when provider throttles requests.","Ability to emulate HTTP 429/ratelimit headers.","Return 429 with retry-after headers from ECB endpoint proxy.\nTrigger ingestion.\nInspect timing/logs for header-respecting backoff.","Ingestion backs off per rate-limit guidance and completes or fails gracefully with alert.","Medium","growth_accelerator","na","GA-SI-001-US001 - Automated ECB Rate Ingestion","Manual","Not Automated","growth_accelerator,sales_insights,na,US001,edge,rate-limit","429 throttling response","QA/Staging","Yes"
"TC-011","Leap-year date (Feb 29) FX ingestion and lookup","Ensure leap-day rates are stored and retrievable correctly.","Test data includes Feb 29 rate entries.","Run ingestion for leap-day sample date.\nQuery fx_rates for Feb 29 entries.\nExecute conversion using leap-day date context.","Feb 29 rates persist and are used correctly by conversion logic.","Medium","growth_accelerator","na","GA-SI-001-US001 - Automated ECB Rate Ingestion","Manual","Not Automated","growth_accelerator,sales_insights,na,US001,edge,leap-year","Leap-year FX payload","QA/Staging","Yes"
"TC-012","Multi-region aggregation converts and sums correctly","Validate mixed-currency regional revenue aggregation into selected output currency.","Sales data exists for at least UK(GBP) and DE(EUR); valid FX rates loaded.","Open Sales Insights dashboard.\nSelect regions DE and UK, granularity Weekly, currency EUR.\nCompare displayed total revenue vs audited calculation.","Aggregated revenue equals expected conversion/sum logic within tolerance.","High","growth_accelerator","na","GA-SI-001-US002 - Unified Multi-Region Sales Aggregation","Manual","Not Automated","growth_accelerator,sales_insights,na,US002,happy-path","Mixed GBP/EUR weekly sales dataset","QA/Staging","No"
"TC-013","EUR selection returns raw base values","Verify business rule path where selected currency equals EUR.","EUR-base source values available for selected period.","Select any region set with available data.\nSet display currency to EUR.\nCompare displayed values to raw base amounts.","System returns unconverted base values for EUR selection.","High","growth_accelerator","na","GA-SI-001-US002 - Unified Multi-Region Sales Aggregation","Manual","Not Automated","growth_accelerator,sales_insights,na,US002,rule-validation","EUR base dataset","QA/Staging","No"
"TC-014","Unsupported currency defaults to EUR with alert","Validate handling of currencies absent in fx_rates.","Currency selector exposes unsupported currency or API accepts it.","Request unsupported currency conversion.\nSubmit filters and refresh KPIs.\nObserve currency fallback behavior and user notification.","Dashboard falls back to EUR and shows user-facing currency unavailable message.","High","growth_accelerator","na","GA-SI-001-US002 - Unified Multi-Region Sales Aggregation","Manual","Not Automated","growth_accelerator,sales_insights,na,US002,edge,currency","Unsupported currency code","QA/Staging","Yes"
"TC-015","No sales data shows explicit empty-state cards","Ensure empty datasets render user-friendly no-data outputs.","Region/time period with no sales records.","Select region/date range known to have no sales data.\nApply filters.\nInspect KPI cards and charts.","Dashboard displays 0/No Data states with clear labeling and no crash.","Medium","growth_accelerator","na","GA-SI-001-US002 - Unified Multi-Region Sales Aggregation","Manual","Not Automated","growth_accelerator,sales_insights,na,US002,edge,empty-state","Empty region-period dataset","QA/Staging","Yes"
"TC-016","Future dates are blocked in date picker","Validate invalid future date range prevention.","Date picker available in UI.","Open date selector.\nAttempt selecting a future date range.\nApply selection if UI allows attempt.","Future dates cannot be selected; invalid range is prevented before query execution.","Medium","growth_accelerator","na","GA-SI-001-US002 - Unified Multi-Region Sales Aggregation","Manual","Not Automated","growth_accelerator,sales_insights,na,US002,edge,date","System current date context","QA/Staging","Yes"
"TC-017","Long-running query times out with guidance message","Ensure graceful timeout behavior for heavy queries.","Ability to simulate slow DB query path.","Trigger aggregation with intentionally heavy filter set.\nForce backend response beyond timeout threshold.\nObserve UI response and retry behavior.","User sees timeout message asking to narrow filters; UI remains responsive.","High","growth_accelerator","na","GA-SI-001-US002 - Unified Multi-Region Sales Aggregation","Manual","Not Automated","growth_accelerator,sales_insights,na,US002,edge,performance","Large date+region scope","QA/Staging","Yes"
"TC-018","Stale region feed indicator appears after 24h lag","Validate stale-data indicator when regional feed is delayed.","Region with data freshness older than 24 hours.","Load dashboard with delayed region feed metadata.\nSelect affected region.\nInspect region label/status indicators.","Stale indicator appears for delayed region with clear warning semantics.","Medium","growth_accelerator","na","GA-SI-001-US002 - Unified Multi-Region Sales Aggregation","Manual","Not Automated","growth_accelerator,sales_insights,na,US002,edge,freshness","Region timestamp >24h old","QA/Staging","Yes"
"TC-019","Region multi-select enforces maximum item limit","Confirm UI prevents overly large filter selections.","Multi-select configured with max item policy.","Attempt selecting more than the allowed item count.\nContinue adding selections rapidly.\nObserve validation message and applied selection size.","Selection is capped at configured maximum and user receives clear max-items message.","Medium","growth_accelerator","na","GA-SI-001-US002 - Unified Multi-Region Sales Aggregation","Manual","Not Automated","growth_accelerator,sales_insights,na,US002,edge,filters","10+ region/brand options","QA/Staging","Yes"
"TC-020","Missing LY baseline shows N/A with tooltip","Validate display behavior when prior-year comparison data is unavailable.","Dataset where current period exists but LY period absent.","Select period/region with missing LY data.\nEnable LY comparison metrics.\nInspect LY fields and tooltip/help text.","LY metrics show N/A with explanatory tooltip; no misleading numeric value shown.","Medium","growth_accelerator","na","GA-SI-001-US002 - Unified Multi-Region Sales Aggregation","Manual","Not Automated","growth_accelerator,sales_insights,na,US002,edge,ly","New region without LY history","QA/Staging","Yes"
"TC-021","Zero FX rate value falls back to latest valid rate","Ensure divide/multiply-by-zero risk is mitigated in conversion flow.","Injected fx_rates row with zero rate for selected date/currency.","Configure rate_to_eur as 0 for target currency/date.\nRun aggregation for affected period.\nInspect output values and alert logs.","System uses latest valid rate, avoids invalid math, and raises admin alert.","High","growth_accelerator","na","GA-SI-001-US002 - Unified Multi-Region Sales Aggregation","Manual","Not Automated","growth_accelerator,sales_insights,na,US002,edge,fx-zero","Zero-rate FX fixture","QA/Staging","Yes"
"TC-022","Unauthorized regions are excluded from user filter options","Validate access control enforcement in regional data visibility.","Test user with restricted region entitlement.","Login as restricted user.\nOpen region filter and API payload inspector.\nAttempt accessing unauthorized region data directly.","Unauthorized regions are hidden and inaccessible via UI/API for that user.","High","growth_accelerator","na","GA-SI-001-US002 - Unified Multi-Region Sales Aggregation","Manual","Not Automated","growth_accelerator,sales_insights,na,US002,edge,authz","Role-scoped user account","QA/Staging","Yes"
"TC-023","Rapid filter changes debounce requests and prevent race conditions","Ensure UI cancels stale requests during quick filter interactions.","Network tab available for request observation.","Rapidly toggle region/currency/granularity controls.\nObserve concurrent request behavior.\nValidate final UI reflects only latest selection state.","Previous requests are debounced/aborted and final state is consistent with last user action.","High","growth_accelerator","na","GA-SI-001-US002 - Unified Multi-Region Sales Aggregation","Manual","Not Automated","growth_accelerator,sales_insights,na,US002,edge,debounce","High-frequency input toggles","QA/Staging","Yes"
"TC-024","LY comparison uses corresponding prior-year week","Validate LY metric offset logic (364-day aligned week comparison).","Known weekly dataset with verified LY comparison benchmark.","Select a target week with known LY numbers.\nEnable LY metric display.\nCompare UI LY values to benchmark/calculated prior-year week.","LY values match expected corresponding prior-year week calculation.","High","growth_accelerator","na","GA-SI-001-US002 - Unified Multi-Region Sales Aggregation","Manual","Not Automated","growth_accelerator,sales_insights,na,US002,ac,ly","Weekly dataset with LY baseline","QA/Staging","No"
"TC-025","Region toggle updates cards and chart within performance SLA","Verify dynamic UI updates happen under 200ms target.","Performance instrumentation available.","Open main dashboard with multiple regions enabled.\nToggle one region off and on.\nMeasure update latency for cards and chart redraw.","Cards/chart update correctly and interaction latency meets <200ms target under normal load.","High","growth_accelerator","na","GA-SI-001-US003 - Command Center Dashboard Visualization","Manual","Not Automated","growth_accelerator,sales_insights,na,US003,ac,performance","Multi-region trend data","QA/Staging","No"
"TC-026","CSV export contains currently filtered SKU rows","Validate detailed-table export for active filters and sorting context.","SKU-level grid populated; export feature enabled.","Apply specific region/date/SKU filters.\nClick CSV export.\nOpen downloaded file and compare row subset with UI filter state.","CSV is generated and includes only filtered SKU dataset with expected columns.","High","growth_accelerator","na","GA-SI-001-US003 - Command Center Dashboard Visualization","Manual","Not Automated","growth_accelerator,sales_insights,na,US003,ac,export","Filtered SKU grid sample","QA/Staging","No"
"TC-027","Chart render failure shows fallback widget","Ensure chart component failure path is handled with user recovery action.","Ability to force chart library/data render error.","Inject chart render exception.\nLoad main dashboard.\nInspect fallback message and reload control.","User sees 'Unable to load chart' style fallback with reload option; page stays functional.","Medium","growth_accelerator","na","GA-SI-001-US003 - Command Center Dashboard Visualization","Manual","Not Automated","growth_accelerator,sales_insights,na,US003,edge,chart","Broken chart payload","QA/Staging","Yes"
"TC-028","Dashboard remains usable on low-resolution displays","Validate responsive vertical stacking and usability at small viewport sizes.","Device emulator/browser responsive mode.","Set viewport to low resolution (e.g., 1366x768 and mobile width).\nOpen dashboard and scroll through filters/chart/table.\nCheck control accessibility and overlap issues.","Layout adapts without clipping/overlap; key actions remain usable.","Medium","growth_accelerator","na","GA-SI-001-US003 - Command Center Dashboard Visualization","Manual","Not Automated","growth_accelerator,sales_insights,na,US003,edge,responsive","Standard dashboard dataset","QA/Staging","Yes"
"TC-029","Large data grid (10k+ rows) remains smooth via virtualization","Verify table scalability and interaction performance under high row counts.","Dataset with 10k+ rows available in detailed table.","Load table with 10k+ SKU rows.\nScroll rapidly and sort by key metrics.\nObserve frame drops and input lag.","Scrolling/sorting remain smooth and memory usage is controlled using virtualized rendering.","High","growth_accelerator","na","GA-SI-001-US003 - Command Center Dashboard Visualization","Manual","Not Automated","growth_accelerator,sales_insights,na,US003,edge,virtualization","10k+ SKU records","QA/Staging","Yes"
"TC-030","Oversized export triggers fallback strategy","Validate graceful handling when CSV export exceeds immediate download threshold.","Export size threshold configured; notification channel active.","Generate export request with very large filtered dataset.\nTrigger CSV export.\nObserve fallback behavior and user notification.","System uses paginated/server-side fallback and informs user (e.g., file delivery notification).","Medium","growth_accelerator","na","GA-SI-001-US003 - Command Center Dashboard Visualization","Manual","Not Automated","growth_accelerator,sales_insights,na,US003,edge,export-size","Very large SKU export set","QA/Staging","Yes"
"TC-031","Image/asset load failures show placeholders","Ensure UI degrades gracefully when static assets are unavailable.","Ability to block image/static asset requests.","Block dashboard image/icon asset URLs.\nLoad dashboard screens.\nInspect rendered UI for broken-image behavior.","Placeholders/default styles appear; no broken image icons or layout breaks.","Low","growth_accelerator","na","GA-SI-001-US003 - Command Center Dashboard Visualization","Manual","Not Automated","growth_accelerator,sales_insights,na,US003,edge,assets","Blocked image requests","QA/Staging","Yes"
"TC-032","Malformed API JSON triggers full-screen error boundary","Validate robust error handling for invalid backend payloads.","Mock/proxy to return malformed JSON.","Return malformed JSON from dashboard API.\nLoad/refresh dashboard.\nObserve error boundary behavior and recovery options.","UI shows controlled 'Something went wrong' overlay without uncaught crashes.","High","growth_accelerator","na","GA-SI-001-US003 - Command Center Dashboard Visualization","Manual","Not Automated","growth_accelerator,sales_insights,na,US003,edge,error-boundary","Malformed JSON response","QA/Staging","Yes"
"TC-033","Session expiry preserves filter state and redirects to login","Confirm user session timeout flow with state retention.","Short session timeout config; saved filter state support.","Apply non-default filters on dashboard.\nExpire session token and trigger API call.\nLogin again and verify restored filter context.","User is redirected to login with friendly message; prior filters are restored post-login.","High","growth_accelerator","na","GA-SI-001-US003 - Command Center Dashboard Visualization","Manual","Not Automated","growth_accelerator,sales_insights,na,US003,edge,session","Session expiry token","QA/Staging","Yes"
"TC-034","Trend lines remain distinguishable for 5+ regions","Verify multi-region chart color choices are accessible and distinguishable.","Chart configured with 5+ region series.","Select five or more regions on chart.\nInspect line colors/legend in normal and color-blind simulation modes.\nVerify readability against chart background.","All region lines remain visually distinguishable and accessible in chart/legend.","Medium","growth_accelerator","na","GA-SI-001-US003 - Command Center Dashboard Visualization","Manual","Not Automated","growth_accelerator,sales_insights,na,US003,edge,accessibility","5+ region trend dataset","QA/Staging","Yes"
"TC-035","Tiny chart points are still easy to hover","Validate hit-area sizing for precise chart tooltip interactions.","Dense chart with small points present.","Load trend chart with dense daily datapoints.\nAttempt hovering near small points at multiple zoom levels.\nCheck tooltip reliability and pointer tolerance.","Tooltips trigger reliably without pixel-perfect aiming; interaction remains user-friendly.","Low","growth_accelerator","na","GA-SI-001-US003 - Command Center Dashboard Visualization","Manual","Not Automated","growth_accelerator,sales_insights,na,US003,edge,usability","Dense line chart dataset","QA/Staging","Yes"
"TC-036","Slow network shows skeleton loaders before data arrives","Ensure loading-state UX is visible and stable under poor network conditions.","Browser network throttling enabled.","Throttle network to slow profile.\nOpen dashboard and switch filters.\nObserve interim loading UI behavior.","Skeleton loaders/pulsing placeholders appear until data resolves; no blank or frozen sections.","Medium","growth_accelerator","na","GA-SI-001-US003 - Command Center Dashboard Visualization","Manual","Not Automated","growth_accelerator,sales_insights,na,US003,edge,loading","Network throttled dashboard load","QA/Staging","Yes"
